TrainingDataset,HumanOrthologGeneID,MouseGeneID,Symbol,Synonyms,Description,EnsemblGeneID,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,MCARTA2.0_score,MCARTA2_FDR,MCARTA2_LIST,MCARTA2_EVIDENCE,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_PrimarySubcellularLocalization_2015
Tmito,1537,66445,Cyc1,2610002H19Rik|AA408921|Q9D0M3,cytochrome c-1,ENSMUSG00000022551,325,2,MitoDomain,49,1.24,OrthologMitoHighConf,Ortholog,50-75pure,44.1268,0,1,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr15,76343522,76345934,14,19,2616,2.05E+11,50,all 14,10.3,10.1,10.4,10.2,10.2,10,10.4,9.8,10.1,10.2,10.2,10,10,9.8,"Mitochondria (APE, Supportive)"
Tmito,5160,18597,Pdha1,Pdha-1|P35486,pyruvate dehydrogenase E1 alpha 1,ENSMUSG00000031299,390,1,MitoDomain,45,1.13,OrthologMitoLowConf,Homolog,75-100pure,42.9867,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chrX,160122218,160138336,14,43,2251,1.48E+11,82,all 14,10.1,9.6,10,10,10.3,9.6,10.5,10,10.1,9.9,9.6,10,9.9,8.9,
Tmito,513,66043,Atp5d,0610008F14Rik|1500000I11Rik|AA960090|AI876556|AU020773|C85518|Q9D3D9,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",ENSMUSG00000003072,168,2,MitoDomain,49,1.75,OrthologMitoHighConf,Ortholog,25-50pure,42.8936,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",chr10,80142314,80145818,14,6,939,1.42E+11,43,all 14,10.1,9.9,10.3,9.8,10.6,9.8,9.8,9.5,9.8,10.1,10,9.8,9.8,9.6,
Tmito,122961,74316,Isca2,0710001C05Rik|5730594E03Rik|Hbld1|Q9DCB8,iron-sulfur cluster assembly 2 homolog (S. cerevisiae),ENSMUSG00000021241,154,1,MitoDomain,28,1.07,OrthologMitoHighConf,Ortholog,75-100pure,42.7814,0,1,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",chr12,84773269,84775089,14,10,163,3.99E+09,79,all 14,8.4,8.4,8.7,8.3,8.8,8.2,7.9,7.2,8.7,8.5,8.4,8,8.5,8.5,
Tmito,7384,22273,Uqcrc1,1110032G10Rik|Q9CZ13,ubiquinol-cytochrome c reductase core protein 1,ENSMUSG00000025651,480,1,MitoDomain,49,1.55,OrthologMitoLowConf,Homolog,50-75pure,42.6144,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr9,108936647,108949641,14,32,3377,2.56E+11,60,all 14,10.1,9.5,9.9,9.9,10.4,10,10.8,10.3,10.1,10.6,10.2,10.3,10.2,9.9,"Cytoplasm;Mitochondria (APE, Supportive)"
Tmito,5162,68263,Pdhb,2610103L06Rik|AL024199|C81408|Q9D051,pyruvate dehydrogenase (lipoamide) beta,ENSMUSG00000021748,359,1,MitoDomain,47,1.67,OrthologMitoLowConf,Homolog,50-75pure,42.6144,0,1,"literature, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr14,8165990,8172992,14,22,1918,1.96E+11,74,all 14,10.2,9.9,10.3,10.2,10,9.6,10.5,9.8,10.4,9.8,9.9,9.9,10,10.5,"Mitochondria (APE, Supportive)"
Tmito,57017,67914,Coq9,2310005O14Rik|C78387|Q8K1Z0,coenzyme Q9 homolog (yeast),ENSMUSG00000031782,313,1,MitoDomain,28,1.8,OrthologMitoHighConf,Ortholog,50-75pure,42.4091,0,1,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",chr8,94838416,94854895,14,18,379,2.24E+10,50,all 14,9.3,8.6,8.9,9,9.3,9.1,9.8,8.6,9.5,9.2,9.2,9.1,8.7,8.8,"Cytoplasm (APE, Uncertain)"
Tmito,6182,56282,Mrpl12,0610034O11Rik|1500031N16Rik|MRP-L12|Rpml12|Q9DB15,mitochondrial ribosomal protein L12,ENSMUSG00000039640,201,1,SharedDomain,42,1.98,OrthologMitoHighConf,Ortholog,50-75pure,42.3044,0,1,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",chr11,120484668,120488754,14,14,634,2.77E+10,66,all 14,9.2,9.1,9.4,9,9.5,9.3,8.9,8.6,9.3,9.2,9.8,9,9.4,9,"Mitochondria (APE, Supportive)"
Tmito,9377,12858,Cox5a,AA959768|CcOX|P12787,cytochrome c oxidase subunit Va,ENSMUSG00000000088,146,1,MitoDomain,49,1.91,OrthologMitoHighConf,NoHomolog,50-75pure,42.0443,0,1,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr9,57521231,57532426,14,19,1523,4.27E+11,65,all 14,10.4,10.2,10.6,10.3,11,10.5,10.4,9.8,10.3,10.6,10.6,10.5,10.3,10.2,
Tmito,60488,232536,Mrps35,MDSO23|MRP-S28|MRPS28|Q8BJZ4,mitochondrial ribosomal protein S35,ENSMUSG00000040112,320,1,MitoDomain,43,1.81,OrthologMitoHighConf,NoHomolog,50-75pure,42.0443,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr6,147042769,147070902,14,22,144,3.27E+09,57,all 14,8.4,8,8.1,6.8,8.2,7.4,7.8,8,8.5,8.5,8.8,7.7,9,8.1,"Mitochondria (APE, Supportive)"
